total_gold_earned_0, 67979
total_gold_spent_0, 63233
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 46
total_deaths_0, 39
total_damage_dealt_to_champions_0, 148029
total_damage_dealt_to_objectives_0, 55704
total_damage_taken_0, 185384
average_vision_score_0, 40
total_wards_placed_0, 85
average_creep_score_0, 114
average_champion_experience_0, 16429
dmg_carry_0, 360
obj_carry_0, 360
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Zac
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Bard
total_gold_earned_1, 65094
total_gold_spent_1, 61350
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 0
total_kills_1, 39
total_deaths_1, 46
total_damage_dealt_to_champions_1, 153774
total_damage_dealt_to_objectives_1, 50277
total_damage_taken_1, 181804
average_vision_score_1, 29
total_wards_placed_1, 64
average_creep_score_1, 130
average_champion_experience_1, 15642
dmg_carry_1, 48
obj_carry_1, 48
team_comp_1_champ_1, Riven
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Fizz
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Nidalee
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
