total_gold_earned_0, 39277
total_gold_spent_0, 35740
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 44
total_damage_dealt_to_champions_0, 56420
total_damage_dealt_to_objectives_0, 14787
total_damage_taken_0, 93490
average_vision_score_0, 18
total_wards_placed_0, 35
average_creep_score_0, 86
average_champion_experience_0, 7935
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Yasuo
team_comp_0_champ_2, FiddleSticks
team_comp_0_champ_3, Trundle
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Xerath
total_gold_earned_1, 52896
total_gold_spent_1, 47835
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 0
total_kills_1, 44
total_deaths_1, 19
total_damage_dealt_to_champions_1, 73216
total_damage_dealt_to_objectives_1, 43939
total_damage_taken_1, 79446
average_vision_score_1, 24
total_wards_placed_1, 44
average_creep_score_1, 89
average_champion_experience_1, 10560
dmg_carry_1, 107
obj_carry_1, 107
team_comp_1_champ_1, Malphite
team_comp_1_champ_2, Rengar
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Swain
gameLengthMin, 23
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
