total_gold_earned_0, 67175
total_gold_spent_0, 61625
total_baron_kills_0, 2
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 47
total_deaths_0, 24
total_damage_dealt_to_champions_0, 123637
total_damage_dealt_to_objectives_0, 94764
total_damage_taken_0, 111031
average_vision_score_0, 21
total_wards_placed_0, 44
average_creep_score_0, 123
average_champion_experience_0, 15588
dmg_carry_0, 63
obj_carry_0, 63
team_comp_0_champ_1, Gnar
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Brand
total_gold_earned_1, 57025
total_gold_spent_1, 55825
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 24
total_deaths_1, 47
total_damage_dealt_to_champions_1, 77975
total_damage_dealt_to_objectives_1, 33360
total_damage_taken_1, 152561
average_vision_score_1, 13
total_wards_placed_1, 39
average_creep_score_1, 137
average_champion_experience_1, 13814
dmg_carry_1, 157
obj_carry_1, 157
team_comp_1_champ_1, Illaoi
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
