total_gold_earned_0, 50596
total_gold_spent_0, 44960
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 36
total_deaths_0, 20
total_damage_dealt_to_champions_0, 93030
total_damage_dealt_to_objectives_0, 50688
total_damage_taken_0, 102330
average_vision_score_0, 21
total_wards_placed_0, 50
average_creep_score_0, 84
average_champion_experience_0, 10481
dmg_carry_0, 39
obj_carry_0, 39
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Kassadin
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Teemo
total_gold_earned_1, 38984
total_gold_spent_1, 37485
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 20
total_deaths_1, 36
total_damage_dealt_to_champions_1, 57500
total_damage_dealt_to_objectives_1, 12222
total_damage_taken_1, 109467
average_vision_score_1, 16
total_wards_placed_1, 37
average_creep_score_1, 76
average_champion_experience_1, 8974
dmg_carry_1, 36
obj_carry_1, 36
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Sona
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
