total_gold_earned_0, 37031
total_gold_spent_0, 34925
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 18
total_deaths_0, 4
total_damage_dealt_to_champions_0, 37478
total_damage_dealt_to_objectives_0, 34184
total_damage_taken_0, 49972
average_vision_score_0, 19
total_wards_placed_0, 43
average_creep_score_0, 86
average_champion_experience_0, 9330
dmg_carry_0, 80
obj_carry_0, 80
team_comp_0_champ_1, Akali
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Pantheon
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Braum
total_gold_earned_1, 31001
total_gold_spent_1, 25675
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 4
total_deaths_1, 18
total_damage_dealt_to_champions_1, 25838
total_damage_dealt_to_objectives_1, 26256
total_damage_taken_1, 53954
average_vision_score_1, 15
total_wards_placed_1, 34
average_creep_score_1, 85
average_champion_experience_1, 7837
dmg_carry_1, 236
obj_carry_1, 236
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, Mordekaiser
team_comp_1_champ_3, Neeko
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
