total_gold_earned_0, 46627
total_gold_spent_0, 43360
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 11
total_deaths_0, 33
total_damage_dealt_to_champions_0, 61295
total_damage_dealt_to_objectives_0, 42609
total_damage_taken_0, 110558
average_vision_score_0, 21
total_wards_placed_0, 45
average_creep_score_0, 125
average_champion_experience_0, 11325
dmg_carry_0, 74
obj_carry_0, 74
team_comp_0_champ_1, Kayle
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Heimerdinger
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 60953
total_gold_spent_1, 54575
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 33
total_deaths_1, 12
total_damage_dealt_to_champions_1, 90043
total_damage_dealt_to_objectives_1, 76257
total_damage_taken_1, 89667
average_vision_score_1, 32
total_wards_placed_1, 72
average_creep_score_1, 134
average_champion_experience_1, 14242
dmg_carry_1, 101
obj_carry_1, 101
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Xerath
team_comp_1_champ_4, Draven
team_comp_1_champ_5, TahmKench
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
