total_gold_earned_0, 58893
total_gold_spent_0, 55725
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 1
total_kills_0, 31
total_deaths_0, 24
total_damage_dealt_to_champions_0, 70037
total_damage_dealt_to_objectives_0, 65662
total_damage_taken_0, 114028
average_vision_score_0, 28
total_wards_placed_0, 60
average_creep_score_0, 129
average_champion_experience_0, 13978
dmg_carry_0, 360
obj_carry_0, 360
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Karma
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Leona
total_gold_earned_1, 49440
total_gold_spent_1, 47475
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 24
total_deaths_1, 31
total_damage_dealt_to_champions_1, 73675
total_damage_dealt_to_objectives_1, 44854
total_damage_taken_1, 87107
average_vision_score_1, 28
total_wards_placed_1, 80
average_creep_score_1, 104
average_champion_experience_1, 11551
dmg_carry_1, 17
obj_carry_1, 17
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Lulu
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Bard
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
