total_gold_earned_0, 55624
total_gold_spent_0, 53150
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 26
total_deaths_0, 40
total_damage_dealt_to_champions_0, 94481
total_damage_dealt_to_objectives_0, 47189
total_damage_taken_0, 118807
average_vision_score_0, 24
total_wards_placed_0, 51
average_creep_score_0, 127
average_champion_experience_0, 12835
dmg_carry_0, 51
obj_carry_0, 51
team_comp_0_champ_1, MonkeyKing
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 66292
total_gold_spent_1, 60930
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 40
total_deaths_1, 26
total_damage_dealt_to_champions_1, 93887
total_damage_dealt_to_objectives_1, 84541
total_damage_taken_1, 124100
average_vision_score_1, 31
total_wards_placed_1, 52
average_creep_score_1, 123
average_champion_experience_1, 15808
dmg_carry_1, 82
obj_carry_1, 82
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Taliyah
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Pantheon
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
