total_gold_earned_0, 48316
total_gold_spent_0, 45075
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 26
total_deaths_0, 46
total_damage_dealt_to_champions_0, 76179
total_damage_dealt_to_objectives_0, 30434
total_damage_taken_0, 129159
average_vision_score_0, 21
total_wards_placed_0, 39
average_creep_score_0, 87
average_champion_experience_0, 10248
dmg_carry_0, 29
obj_carry_0, 29
team_comp_0_champ_1, Urgot
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Zac
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 60601
total_gold_spent_1, 50305
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 46
total_deaths_1, 26
total_damage_dealt_to_champions_1, 114598
total_damage_dealt_to_objectives_1, 71241
total_damage_taken_1, 103178
average_vision_score_1, 23
total_wards_placed_1, 47
average_creep_score_1, 102
average_champion_experience_1, 12143
dmg_carry_1, 107
obj_carry_1, 107
team_comp_1_champ_1, Fiora
team_comp_1_champ_2, Rengar
team_comp_1_champ_3, TwistedFate
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Lulu
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
