total_gold_earned_0, 53921
total_gold_spent_0, 49205
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 3
total_kills_0, 39
total_deaths_0, 18
total_damage_dealt_to_champions_0, 69919
total_damage_dealt_to_objectives_0, 76713
total_damage_taken_0, 77367
average_vision_score_0, 22
total_wards_placed_0, 45
average_creep_score_0, 82
average_champion_experience_0, 11242
dmg_carry_0, 67
obj_carry_0, 67
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Kayle
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Soraka
total_gold_earned_1, 42774
total_gold_spent_1, 40860
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 18
total_deaths_1, 39
total_damage_dealt_to_champions_1, 52387
total_damage_dealt_to_objectives_1, 18921
total_damage_taken_1, 96840
average_vision_score_1, 18
total_wards_placed_1, 39
average_creep_score_1, 89
average_champion_experience_1, 9362
dmg_carry_1, 11
obj_carry_1, 11
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
