total_gold_earned_0, 66341
total_gold_spent_0, 57725
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 3
total_kills_0, 43
total_deaths_0, 30
total_damage_dealt_to_champions_0, 93962
total_damage_dealt_to_objectives_0, 68418
total_damage_taken_0, 132493
average_vision_score_0, 20
total_wards_placed_0, 49
average_creep_score_0, 131
average_champion_experience_0, 15909
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Talon
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 58886
total_gold_spent_1, 56075
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 29
total_deaths_1, 43
total_damage_dealt_to_champions_1, 103440
total_damage_dealt_to_objectives_1, 32809
total_damage_taken_1, 115967
average_vision_score_1, 26
total_wards_placed_1, 58
average_creep_score_1, 122
average_champion_experience_1, 13436
dmg_carry_1, 21
obj_carry_1, 21
team_comp_1_champ_1, Nasus
team_comp_1_champ_2, Shaco
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, MissFortune
gameLengthMin, 31
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
