total_gold_earned_0, 63719
total_gold_spent_0, 60700
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 42
total_deaths_0, 27
total_damage_dealt_to_champions_0, 132097
total_damage_dealt_to_objectives_0, 56446
total_damage_taken_0, 128522
average_vision_score_0, 32
total_wards_placed_0, 70
average_creep_score_0, 127
average_champion_experience_0, 14284
dmg_carry_0, 69
obj_carry_0, 69
team_comp_0_champ_1, Camille
team_comp_0_champ_2, LeeSin
team_comp_0_champ_3, Cassiopeia
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Ashe
total_gold_earned_1, 51999
total_gold_spent_1, 48925
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 42
total_damage_dealt_to_champions_1, 98619
total_damage_dealt_to_objectives_1, 31341
total_damage_taken_1, 150969
average_vision_score_1, 32
total_wards_placed_1, 57
average_creep_score_1, 107
average_champion_experience_1, 12607
dmg_carry_1, 102
obj_carry_1, 102
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Shyvana
team_comp_1_champ_3, Chogath
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Karma
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
