total_gold_earned_0, 37328
total_gold_spent_0, 34885
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 29
total_damage_dealt_to_champions_0, 47004
total_damage_dealt_to_objectives_0, 23089
total_damage_taken_0, 91445
average_vision_score_0, 20
total_wards_placed_0, 45
average_creep_score_0, 83
average_champion_experience_0, 9257
dmg_carry_0, 266
obj_carry_0, 266
team_comp_0_champ_1, Aatrox
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Cassiopeia
team_comp_0_champ_4, Akshan
team_comp_0_champ_5, Sona
total_gold_earned_1, 50226
total_gold_spent_1, 40950
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 29
total_deaths_1, 19
total_damage_dealt_to_champions_1, 77420
total_damage_dealt_to_objectives_1, 85892
total_damage_taken_1, 76675
average_vision_score_1, 19
total_wards_placed_1, 37
average_creep_score_1, 100
average_champion_experience_1, 11423
dmg_carry_1, 157
obj_carry_1, 157
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Ziggs
team_comp_1_champ_5, Senna
gameLengthMin, 24
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
