total_gold_earned_0, 31273
total_gold_spent_0, 30075
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 6
total_deaths_0, 22
total_damage_dealt_to_champions_0, 38036
total_damage_dealt_to_objectives_0, 10142
total_damage_taken_0, 61066
average_vision_score_0, 10
total_wards_placed_0, 29
average_creep_score_0, 80
average_champion_experience_0, 8292
dmg_carry_0, 63
obj_carry_0, 63
team_comp_0_champ_1, Quinn
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Brand
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Kayle
total_gold_earned_1, 43080
total_gold_spent_1, 36500
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 22
total_deaths_1, 6
total_damage_dealt_to_champions_1, 45744
total_damage_dealt_to_objectives_1, 64504
total_damage_taken_1, 65970
average_vision_score_1, 15
total_wards_placed_1, 31
average_creep_score_1, 92
average_champion_experience_1, 9450
dmg_carry_1, 18
obj_carry_1, 18
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Gragas
team_comp_1_champ_3, Anivia
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
