total_gold_earned_0, 71849
total_gold_spent_0, 71535
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 48
total_deaths_0, 48
total_damage_dealt_to_champions_0, 156109
total_damage_dealt_to_objectives_0, 39250
total_damage_taken_0, 186237
average_vision_score_0, 40
total_wards_placed_0, 66
average_creep_score_0, 126
average_champion_experience_0, 16308
dmg_carry_0, 110
obj_carry_0, 110
team_comp_0_champ_1, Akali
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Malphite
team_comp_0_champ_4, Varus
team_comp_0_champ_5, Zyra
total_gold_earned_1, 77517
total_gold_spent_1, 76025
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 48
total_deaths_1, 48
total_damage_dealt_to_champions_1, 158355
total_damage_dealt_to_objectives_1, 71248
total_damage_taken_1, 182670
average_vision_score_1, 53
total_wards_placed_1, 120
average_creep_score_1, 129
average_champion_experience_1, 17016
dmg_carry_1, 202
obj_carry_1, 202
team_comp_1_champ_1, Gangplank
team_comp_1_champ_2, Elise
team_comp_1_champ_3, Poppy
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, MissFortune
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
