total_gold_earned_0, 51788
total_gold_spent_0, 47500
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 22
total_deaths_0, 32
total_damage_dealt_to_champions_0, 76384
total_damage_dealt_to_objectives_0, 32045
total_damage_taken_0, 113655
average_vision_score_0, 26
total_wards_placed_0, 52
average_creep_score_0, 114
average_champion_experience_0, 11141
dmg_carry_0, 34
obj_carry_0, 34
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Amumu
team_comp_0_champ_3, Anivia
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Renata
total_gold_earned_1, 56128
total_gold_spent_1, 51341
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 32
total_deaths_1, 22
total_damage_dealt_to_champions_1, 90298
total_damage_dealt_to_objectives_1, 53298
total_damage_taken_1, 96027
average_vision_score_1, 24
total_wards_placed_1, 44
average_creep_score_1, 111
average_champion_experience_1, 12825
dmg_carry_1, 74
obj_carry_1, 74
team_comp_1_champ_1, Jayce
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Heimerdinger
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Janna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
