total_gold_earned_0, 66287
total_gold_spent_0, 63858
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 27
total_deaths_0, 36
total_damage_dealt_to_champions_0, 97778
total_damage_dealt_to_objectives_0, 43437
total_damage_taken_0, 160656
average_vision_score_0, 39
total_wards_placed_0, 81
average_creep_score_0, 153
average_champion_experience_0, 16437
dmg_carry_0, 6
obj_carry_0, 6
team_comp_0_champ_1, Urgot
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Zoe
team_comp_0_champ_4, Zeri
team_comp_0_champ_5, Morgana
total_gold_earned_1, 70835
total_gold_spent_1, 66650
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 35
total_deaths_1, 27
total_damage_dealt_to_champions_1, 121147
total_damage_dealt_to_objectives_1, 83288
total_damage_taken_1, 128941
average_vision_score_1, 37
total_wards_placed_1, 80
average_creep_score_1, 135
average_champion_experience_1, 17190
dmg_carry_1, 112
obj_carry_1, 112
team_comp_1_champ_1, MonkeyKing
team_comp_1_champ_2, Shaco
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Janna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
