total_gold_earned_0, 64419
total_gold_spent_0, 70845
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 32
total_deaths_0, 51
total_damage_dealt_to_champions_0, 110933
total_damage_dealt_to_objectives_0, 29600
total_damage_taken_0, 151175
average_vision_score_0, 23
total_wards_placed_0, 56
average_creep_score_0, 131
average_champion_experience_0, 15169
dmg_carry_0, 115
obj_carry_0, 115
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Zed
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Ziggs
team_comp_0_champ_5, Pyke
total_gold_earned_1, 72905
total_gold_spent_1, 64230
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 51
total_deaths_1, 32
total_damage_dealt_to_champions_1, 126949
total_damage_dealt_to_objectives_1, 92724
total_damage_taken_1, 143459
average_vision_score_1, 32
total_wards_placed_1, 63
average_creep_score_1, 137
average_champion_experience_1, 17847
dmg_carry_1, 133
obj_carry_1, 133
team_comp_1_champ_1, Quinn
team_comp_1_champ_2, Ekko
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Trundle
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
