total_gold_earned_0, 51499
total_gold_spent_0, 48270
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 30
total_deaths_0, 42
total_damage_dealt_to_champions_0, 95049
total_damage_dealt_to_objectives_0, 6495
total_damage_taken_0, 115868
average_vision_score_0, 15
total_wards_placed_0, 29
average_creep_score_0, 79
average_champion_experience_0, 10969
dmg_carry_0, 121
obj_carry_0, 121
team_comp_0_champ_1, Yuumi
team_comp_0_champ_2, Khazix
team_comp_0_champ_3, Zed
team_comp_0_champ_4, Draven
team_comp_0_champ_5, Veigar
total_gold_earned_1, 62008
total_gold_spent_1, 55083
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 42
total_deaths_1, 31
total_damage_dealt_to_champions_1, 98646
total_damage_dealt_to_objectives_1, 95931
total_damage_taken_1, 119577
average_vision_score_1, 26
total_wards_placed_1, 56
average_creep_score_1, 95
average_champion_experience_1, 13032
dmg_carry_1, 131
obj_carry_1, 131
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Swain
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
