total_gold_earned_0, 27603
total_gold_spent_0, 27200
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 7
total_deaths_0, 40
total_damage_dealt_to_champions_0, 32091
total_damage_dealt_to_objectives_0, 2811
total_damage_taken_0, 73548
average_vision_score_0, 13
total_wards_placed_0, 37
average_creep_score_0, 58
average_champion_experience_0, 6228
dmg_carry_0, 86
obj_carry_0, 86
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Udyr
team_comp_0_champ_3, Pyke
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Bard
total_gold_earned_1, 44103
total_gold_spent_1, 37025
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 40
total_deaths_1, 7
total_damage_dealt_to_champions_1, 63889
total_damage_dealt_to_objectives_1, 38529
total_damage_taken_1, 59141
average_vision_score_1, 13
total_wards_placed_1, 25
average_creep_score_1, 83
average_champion_experience_1, 8731
dmg_carry_1, 202
obj_carry_1, 202
team_comp_1_champ_1, Shen
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Lissandra
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
