total_gold_earned_0, 56732
total_gold_spent_0, 53025
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 33
total_deaths_0, 19
total_damage_dealt_to_champions_0, 94158
total_damage_dealt_to_objectives_0, 44863
total_damage_taken_0, 87230
average_vision_score_0, 24
total_wards_placed_0, 46
average_creep_score_0, 124
average_champion_experience_0, 13643
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Morgana
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Velkoz
total_gold_earned_1, 50695
total_gold_spent_1, 48653
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 19
total_deaths_1, 33
total_damage_dealt_to_champions_1, 63523
total_damage_dealt_to_objectives_1, 31898
total_damage_taken_1, 118108
average_vision_score_1, 24
total_wards_placed_1, 63
average_creep_score_1, 116
average_champion_experience_1, 11788
dmg_carry_1, 122
obj_carry_1, 122
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Sejuani
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
