total_gold_earned_0, 50589
total_gold_spent_0, 42775
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 5
total_kills_0, 34
total_deaths_0, 18
total_damage_dealt_to_champions_0, 90079
total_damage_dealt_to_objectives_0, 51880
total_damage_taken_0, 89079
average_vision_score_0, 18
total_wards_placed_0, 43
average_creep_score_0, 88
average_champion_experience_0, 10314
dmg_carry_0, 86
obj_carry_0, 86
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Diana
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, Lux
total_gold_earned_1, 43067
total_gold_spent_1, 39268
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 17
total_deaths_1, 34
total_damage_dealt_to_champions_1, 65813
total_damage_dealt_to_objectives_1, 37645
total_damage_taken_1, 112114
average_vision_score_1, 14
total_wards_placed_1, 34
average_creep_score_1, 94
average_champion_experience_1, 9774
dmg_carry_1, 360
obj_carry_1, 360
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Samira
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Lulu
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
