total_gold_earned_0, 81574
total_gold_spent_0, 79470
total_baron_kills_0, 2
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 52
total_deaths_0, 51
total_damage_dealt_to_champions_0, 187596
total_damage_dealt_to_objectives_0, 77990
total_damage_taken_0, 237900
average_vision_score_0, 36
total_wards_placed_0, 83
average_creep_score_0, 138
average_champion_experience_0, 19598
dmg_carry_0, 115
obj_carry_0, 115
team_comp_0_champ_1, Yasuo
team_comp_0_champ_2, MonkeyKing
team_comp_0_champ_3, Orianna
team_comp_0_champ_4, Ziggs
team_comp_0_champ_5, Pyke
total_gold_earned_1, 84978
total_gold_spent_1, 79895
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 51
total_deaths_1, 52
total_damage_dealt_to_champions_1, 199466
total_damage_dealt_to_objectives_1, 66325
total_damage_taken_1, 229267
average_vision_score_1, 31
total_wards_placed_1, 67
average_creep_score_1, 154
average_champion_experience_1, 20971
dmg_carry_1, 112
obj_carry_1, 112
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Sejuani
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Veigar
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
