total_gold_earned_0, 74652
total_gold_spent_0, 65103
total_baron_kills_0, 1
total_dragon_kills_0, 5
total_inhibitor_kils_0, 2
total_kills_0, 42
total_deaths_0, 28
total_damage_dealt_to_champions_0, 123203
total_damage_dealt_to_objectives_0, 80747
total_damage_taken_0, 120478
average_vision_score_0, 39
total_wards_placed_0, 81
average_creep_score_0, 148
average_champion_experience_0, 18831
dmg_carry_0, 122
obj_carry_0, 122
team_comp_0_champ_1, Darius
team_comp_0_champ_2, LeeSin
team_comp_0_champ_3, Brand
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Morgana
total_gold_earned_1, 64914
total_gold_spent_1, 71858
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 28
total_deaths_1, 42
total_damage_dealt_to_champions_1, 95515
total_damage_dealt_to_objectives_1, 59107
total_damage_taken_1, 152946
average_vision_score_1, 29
total_wards_placed_1, 168
average_creep_score_1, 154
average_champion_experience_1, 14623
dmg_carry_1, 42
obj_carry_1, 42
team_comp_1_champ_1, Nasus
team_comp_1_champ_2, Shyvana
team_comp_1_champ_3, Corki
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
