total_gold_earned_0, 38093
total_gold_spent_0, 35235
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 8
total_deaths_0, 29
total_damage_dealt_to_champions_0, 43389
total_damage_dealt_to_objectives_0, 11749
total_damage_taken_0, 95367
average_vision_score_0, 15
total_wards_placed_0, 36
average_creep_score_0, 103
average_champion_experience_0, 9544
dmg_carry_0, 67
obj_carry_0, 67
team_comp_0_champ_1, Singed
team_comp_0_champ_2, Khazix
team_comp_0_champ_3, Kassadin
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Soraka
total_gold_earned_1, 51362
total_gold_spent_1, 43820
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 29
total_deaths_1, 8
total_damage_dealt_to_champions_1, 74393
total_damage_dealt_to_objectives_1, 65721
total_damage_taken_1, 75407
average_vision_score_1, 22
total_wards_placed_1, 43
average_creep_score_1, 110
average_champion_experience_1, 11599
dmg_carry_1, 104
obj_carry_1, 104
team_comp_1_champ_1, Graves
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Anivia
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Swain
gameLengthMin, 25
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
