total_gold_earned_0, 38446
total_gold_spent_0, 35408
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 12
total_deaths_0, 30
total_damage_dealt_to_champions_0, 49652
total_damage_dealt_to_objectives_0, 23455
total_damage_taken_0, 96835
average_vision_score_0, 14
total_wards_placed_0, 29
average_creep_score_0, 94
average_champion_experience_0, 9408
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Olaf
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 51518
total_gold_spent_1, 46885
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 30
total_deaths_1, 12
total_damage_dealt_to_champions_1, 73045
total_damage_dealt_to_objectives_1, 64651
total_damage_taken_1, 73626
average_vision_score_1, 22
total_wards_placed_1, 56
average_creep_score_1, 99
average_champion_experience_1, 11501
dmg_carry_1, 245
obj_carry_1, 245
team_comp_1_champ_1, Pantheon
team_comp_1_champ_2, Teemo
team_comp_1_champ_3, Ekko
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
