total_gold_earned_0, 46039
total_gold_spent_0, 37660
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 25
total_deaths_0, 15
total_damage_dealt_to_champions_0, 65429
total_damage_dealt_to_objectives_0, 53596
total_damage_taken_0, 79055
average_vision_score_0, 19
total_wards_placed_0, 44
average_creep_score_0, 92
average_champion_experience_0, 10954
dmg_carry_0, 18
obj_carry_0, 18
team_comp_0_champ_1, Riven
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Syndra
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Nami
total_gold_earned_1, 37801
total_gold_spent_1, 36450
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 15
total_deaths_1, 25
total_damage_dealt_to_champions_1, 52006
total_damage_dealt_to_objectives_1, 26201
total_damage_taken_1, 84727
average_vision_score_1, 20
total_wards_placed_1, 51
average_creep_score_1, 88
average_champion_experience_1, 8321
dmg_carry_1, 875
obj_carry_1, 875
team_comp_1_champ_1, Sett
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Heimerdinger
team_comp_1_champ_5, Leona
gameLengthMin, 23
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
