total_gold_earned_0, 38201
total_gold_spent_0, 36225
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 15
total_deaths_0, 24
total_damage_dealt_to_champions_0, 48230
total_damage_dealt_to_objectives_0, 15764
total_damage_taken_0, 83243
average_vision_score_0, 14
total_wards_placed_0, 45
average_creep_score_0, 89
average_champion_experience_0, 9443
dmg_carry_0, 62
obj_carry_0, 62
team_comp_0_champ_1, MonkeyKing
team_comp_0_champ_2, Rengar
team_comp_0_champ_3, Kassadin
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Maokai
total_gold_earned_1, 50778
total_gold_spent_1, 44900
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 3
total_kills_1, 24
total_deaths_1, 15
total_damage_dealt_to_champions_1, 62933
total_damage_dealt_to_objectives_1, 79356
total_damage_taken_1, 82225
average_vision_score_1, 25
total_wards_placed_1, 50
average_creep_score_1, 108
average_champion_experience_1, 11659
dmg_carry_1, 14
obj_carry_1, 14
team_comp_1_champ_1, Sion
team_comp_1_champ_2, Sejuani
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Neeko
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
