total_gold_earned_0, 51693
total_gold_spent_0, 44185
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 34
total_deaths_0, 14
total_damage_dealt_to_champions_0, 82433
total_damage_dealt_to_objectives_0, 76482
total_damage_taken_0, 88929
average_vision_score_0, 22
total_wards_placed_0, 42
average_creep_score_0, 108
average_champion_experience_0, 12117
dmg_carry_0, 498
obj_carry_0, 498
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Mordekaiser
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Xayah
team_comp_0_champ_5, Rakan
total_gold_earned_1, 40871
total_gold_spent_1, 37625
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 14
total_deaths_1, 34
total_damage_dealt_to_champions_1, 64275
total_damage_dealt_to_objectives_1, 28480
total_damage_taken_1, 96153
average_vision_score_1, 21
total_wards_placed_1, 52
average_creep_score_1, 94
average_champion_experience_1, 8953
dmg_carry_1, 119
obj_carry_1, 119
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
