total_gold_earned_0, 51599
total_gold_spent_0, 45383
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 37
total_deaths_0, 16
total_damage_dealt_to_champions_0, 79031
total_damage_dealt_to_objectives_0, 57135
total_damage_taken_0, 86199
average_vision_score_0, 25
total_wards_placed_0, 50
average_creep_score_0, 97
average_champion_experience_0, 10108
dmg_carry_0, 23
obj_carry_0, 23
team_comp_0_champ_1, Tryndamere
team_comp_0_champ_2, Karthus
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Janna
total_gold_earned_1, 35696
total_gold_spent_1, 32960
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 16
total_deaths_1, 37
total_damage_dealt_to_champions_1, 54084
total_damage_dealt_to_objectives_1, 9245
total_damage_taken_1, 88239
average_vision_score_1, 11
total_wards_placed_1, 29
average_creep_score_1, 74
average_champion_experience_1, 7992
dmg_carry_1, 777
obj_carry_1, 777
team_comp_1_champ_1, Lillia
team_comp_1_champ_2, Amumu
team_comp_1_champ_3, Yone
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Karma
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
