total_gold_earned_0, 51834
total_gold_spent_0, 48560
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 35
total_deaths_0, 22
total_damage_dealt_to_champions_0, 67615
total_damage_dealt_to_objectives_0, 61367
total_damage_taken_0, 89358
average_vision_score_0, 22
total_wards_placed_0, 45
average_creep_score_0, 93
average_champion_experience_0, 12207
dmg_carry_0, 711
obj_carry_0, 711
team_comp_0_champ_1, Shen
team_comp_0_champ_2, Khazix
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Janna
total_gold_earned_1, 43676
total_gold_spent_1, 40450
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 22
total_deaths_1, 35
total_damage_dealt_to_champions_1, 68279
total_damage_dealt_to_objectives_1, 29636
total_damage_taken_1, 88342
average_vision_score_1, 21
total_wards_placed_1, 47
average_creep_score_1, 85
average_champion_experience_1, 9441
dmg_carry_1, 56
obj_carry_1, 56
team_comp_1_champ_1, Xerath
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Urgot
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
