total_gold_earned_0, 73990
total_gold_spent_0, 66925
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 1
total_kills_0, 37
total_deaths_0, 56
total_damage_dealt_to_champions_0, 146736
total_damage_dealt_to_objectives_0, 43635
total_damage_taken_0, 181664
average_vision_score_0, 37
total_wards_placed_0, 73
average_creep_score_0, 152
average_champion_experience_0, 17740
dmg_carry_0, 105
obj_carry_0, 105
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, MonkeyKing
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 85548
total_gold_spent_1, 77083
total_baron_kills_1, 1
total_dragon_kills_1, 5
total_inhibitor_kils_1, 2
total_kills_1, 56
total_deaths_1, 37
total_damage_dealt_to_champions_1, 156499
total_damage_dealt_to_objectives_1, 101337
total_damage_taken_1, 197686
average_vision_score_1, 38
total_wards_placed_1, 85
average_creep_score_1, 141
average_champion_experience_1, 21224
dmg_carry_1, 141
obj_carry_1, 141
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
