total_gold_earned_0, 74854
total_gold_spent_0, 65400
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 42
total_deaths_0, 41
total_damage_dealt_to_champions_0, 129740
total_damage_dealt_to_objectives_0, 68418
total_damage_taken_0, 170790
average_vision_score_0, 24
total_wards_placed_0, 65
average_creep_score_0, 134
average_champion_experience_0, 17902
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Sona
total_gold_earned_1, 72456
total_gold_spent_1, 66350
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 41
total_deaths_1, 43
total_damage_dealt_to_champions_1, 126523
total_damage_dealt_to_objectives_1, 58243
total_damage_taken_1, 162388
average_vision_score_1, 36
total_wards_placed_1, 82
average_creep_score_1, 121
average_champion_experience_1, 15946
dmg_carry_1, 21
obj_carry_1, 21
team_comp_1_champ_1, Urgot
team_comp_1_champ_2, Talon
team_comp_1_champ_3, Vayne
team_comp_1_champ_4, Ahri
team_comp_1_champ_5, MissFortune
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
