total_gold_earned_0, 19517
total_gold_spent_0, 15260
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 7
total_deaths_0, 2
total_damage_dealt_to_champions_0, 14579
total_damage_dealt_to_objectives_0, 13389
total_damage_taken_0, 18782
average_vision_score_0, 3
total_wards_placed_0, 11
average_creep_score_0, 39
average_champion_experience_0, 3938
dmg_carry_0, 106
obj_carry_0, 106
team_comp_0_champ_1, Volibear
team_comp_0_champ_2, Karthus
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Ashe
total_gold_earned_1, 12423
total_gold_spent_1, 9150
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 2
total_deaths_1, 7
total_damage_dealt_to_champions_1, 9072
total_damage_dealt_to_objectives_1, 964
total_damage_taken_1, 19904
average_vision_score_1, 2
total_wards_placed_1, 8
average_creep_score_1, 25
average_champion_experience_1, 2778
dmg_carry_1, 23
obj_carry_1, 23
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Vladimir
team_comp_1_champ_4, KogMaw
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
