total_gold_earned_0, 65769
total_gold_spent_0, 62760
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 47
total_deaths_0, 46
total_damage_dealt_to_champions_0, 124058
total_damage_dealt_to_objectives_0, 25007
total_damage_taken_0, 191814
average_vision_score_0, 23
total_wards_placed_0, 40
average_creep_score_0, 121
average_champion_experience_0, 15414
dmg_carry_0, 245
obj_carry_0, 245
team_comp_0_champ_1, Aatrox
team_comp_0_champ_2, MonkeyKing
team_comp_0_champ_3, Ekko
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 76022
total_gold_spent_1, 68475
total_baron_kills_1, 2
total_dragon_kills_1, 3
total_inhibitor_kils_1, 3
total_kills_1, 46
total_deaths_1, 47
total_damage_dealt_to_champions_1, 163143
total_damage_dealt_to_objectives_1, 110621
total_damage_taken_1, 161844
average_vision_score_1, 29
total_wards_placed_1, 65
average_creep_score_1, 113
average_champion_experience_1, 18176
dmg_carry_1, 141
obj_carry_1, 141
team_comp_1_champ_1, Urgot
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Ziggs
team_comp_1_champ_5, Zyra
gameLengthMin, 36
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
