total_gold_earned_0, 45973
total_gold_spent_0, 39405
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 25
total_deaths_0, 8
total_damage_dealt_to_champions_0, 56843
total_damage_dealt_to_objectives_0, 54281
total_damage_taken_0, 62777
average_vision_score_0, 21
total_wards_placed_0, 49
average_creep_score_0, 104
average_champion_experience_0, 10753
dmg_carry_0, 86
obj_carry_0, 86
team_comp_0_champ_1, Fiora
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Garen
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Lux
total_gold_earned_1, 34881
total_gold_spent_1, 31560
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 8
total_deaths_1, 25
total_damage_dealt_to_champions_1, 40566
total_damage_dealt_to_objectives_1, 10705
total_damage_taken_1, 78274
average_vision_score_1, 12
total_wards_placed_1, 35
average_creep_score_1, 94
average_champion_experience_1, 8804
dmg_carry_1, 27
obj_carry_1, 27
team_comp_1_champ_1, Singed
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Kassadin
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Thresh
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
