total_gold_earned_0, 83636
total_gold_spent_0, 77500
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 54
total_deaths_0, 38
total_damage_dealt_to_champions_0, 196536
total_damage_dealt_to_objectives_0, 90866
total_damage_taken_0, 202092
average_vision_score_0, 37
total_wards_placed_0, 79
average_creep_score_0, 134
average_champion_experience_0, 18444
dmg_carry_0, 41
obj_carry_0, 41
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Udyr
team_comp_0_champ_3, TwistedFate
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Renata
total_gold_earned_1, 78988
total_gold_spent_1, 72425
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 38
total_deaths_1, 54
total_damage_dealt_to_champions_1, 176371
total_damage_dealt_to_objectives_1, 97829
total_damage_taken_1, 244183
average_vision_score_1, 39
total_wards_placed_1, 82
average_creep_score_1, 161
average_champion_experience_1, 19163
dmg_carry_1, 14
obj_carry_1, 14
team_comp_1_champ_1, Sion
team_comp_1_champ_2, Zac
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Xerath
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
