total_gold_earned_0, 35839
total_gold_spent_0, 33183
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 36
total_damage_dealt_to_champions_0, 39734
total_damage_dealt_to_objectives_0, 26373
total_damage_taken_0, 97344
average_vision_score_0, 14
total_wards_placed_0, 37
average_creep_score_0, 83
average_champion_experience_0, 7569
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Olaf
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Kassadin
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 50618
total_gold_spent_1, 43268
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 36
total_deaths_1, 10
total_damage_dealt_to_champions_1, 77167
total_damage_dealt_to_objectives_1, 71986
total_damage_taken_1, 60594
average_vision_score_1, 21
total_wards_placed_1, 51
average_creep_score_1, 89
average_champion_experience_1, 10930
dmg_carry_1, 99
obj_carry_1, 99
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Rammus
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
