total_gold_earned_0, 49660
total_gold_spent_0, 49835
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 28
total_damage_dealt_to_champions_0, 85437
total_damage_dealt_to_objectives_0, 13876
total_damage_taken_0, 114701
average_vision_score_0, 16
total_wards_placed_0, 43
average_creep_score_0, 119
average_champion_experience_0, 12658
dmg_carry_0, 101
obj_carry_0, 101
team_comp_0_champ_1, Illaoi
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Teemo
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Xerath
total_gold_earned_1, 66200
total_gold_spent_1, 59515
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 28
total_deaths_1, 19
total_damage_dealt_to_champions_1, 89056
total_damage_dealt_to_objectives_1, 97552
total_damage_taken_1, 121030
average_vision_score_1, 25
total_wards_placed_1, 63
average_creep_score_1, 127
average_champion_experience_1, 14705
dmg_carry_1, 119
obj_carry_1, 119
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Brand
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
