total_gold_earned_0, 27473
total_gold_spent_0, 23000
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 13
total_deaths_0, 23
total_damage_dealt_to_champions_0, 33244
total_damage_dealt_to_objectives_0, 5673
total_damage_taken_0, 49823
average_vision_score_0, 9
total_wards_placed_0, 21
average_creep_score_0, 50
average_champion_experience_0, 6136
dmg_carry_0, 17
obj_carry_0, 17
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Chogath
team_comp_0_champ_3, Akshan
team_comp_0_champ_4, Xayah
team_comp_0_champ_5, Lux
total_gold_earned_1, 38526
total_gold_spent_1, 36275
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 23
total_deaths_1, 13
total_damage_dealt_to_champions_1, 38891
total_damage_dealt_to_objectives_1, 55964
total_damage_taken_1, 54183
average_vision_score_1, 11
total_wards_placed_1, 27
average_creep_score_1, 77
average_champion_experience_1, 7719
dmg_carry_1, 18
obj_carry_1, 18
team_comp_1_champ_1, Lissandra
team_comp_1_champ_2, Sejuani
team_comp_1_champ_3, Tristana
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Brand
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
