total_gold_earned_0, 54893
total_gold_spent_0, 51750
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 1
total_kills_0, 25
total_deaths_0, 16
total_damage_dealt_to_champions_0, 73021
total_damage_dealt_to_objectives_0, 70543
total_damage_taken_0, 82292
average_vision_score_0, 27
total_wards_placed_0, 56
average_creep_score_0, 115
average_champion_experience_0, 13958
dmg_carry_0, 55
obj_carry_0, 55
team_comp_0_champ_1, Gnar
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Katarina
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Rell
total_gold_earned_1, 49818
total_gold_spent_1, 47325
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 16
total_deaths_1, 25
total_damage_dealt_to_champions_1, 58920
total_damage_dealt_to_objectives_1, 39605
total_damage_taken_1, 94146
average_vision_score_1, 20
total_wards_placed_1, 43
average_creep_score_1, 128
average_champion_experience_1, 12503
dmg_carry_1, 11
obj_carry_1, 11
team_comp_1_champ_1, Malphite
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Veigar
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Renata
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
