total_gold_earned_0, 69220
total_gold_spent_0, 63408
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 38
total_deaths_0, 31
total_damage_dealt_to_champions_0, 114781
total_damage_dealt_to_objectives_0, 52116
total_damage_taken_0, 174310
average_vision_score_0, 35
total_wards_placed_0, 68
average_creep_score_0, 124
average_champion_experience_0, 14604
dmg_carry_0, 122
obj_carry_0, 122
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Ekko
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Soraka
total_gold_earned_1, 61645
total_gold_spent_1, 57758
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 31
total_deaths_1, 38
total_damage_dealt_to_champions_1, 141967
total_damage_dealt_to_objectives_1, 44788
total_damage_taken_1, 139860
average_vision_score_1, 40
total_wards_placed_1, 89
average_creep_score_1, 125
average_champion_experience_1, 13593
dmg_carry_1, 81
obj_carry_1, 81
team_comp_1_champ_1, Kled
team_comp_1_champ_2, Nunu
team_comp_1_champ_3, Velkoz
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Karma
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
