total_gold_earned_0, 56224
total_gold_spent_0, 48975
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 31
total_deaths_0, 38
total_damage_dealt_to_champions_0, 87574
total_damage_dealt_to_objectives_0, 57840
total_damage_taken_0, 111597
average_vision_score_0, 20
total_wards_placed_0, 46
average_creep_score_0, 112
average_champion_experience_0, 12015
dmg_carry_0, 86
obj_carry_0, 86
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Sejuani
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 53929
total_gold_spent_1, 51400
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 38
total_deaths_1, 31
total_damage_dealt_to_champions_1, 87572
total_damage_dealt_to_objectives_1, 49560
total_damage_taken_1, 110392
average_vision_score_1, 28
total_wards_placed_1, 53
average_creep_score_1, 95
average_champion_experience_1, 11940
dmg_carry_1, 84
obj_carry_1, 84
team_comp_1_champ_1, Nasus
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Akali
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Ashe
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
