total_gold_earned_0, 62108
total_gold_spent_0, 57575
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 47
total_deaths_0, 21
total_damage_dealt_to_champions_0, 98548
total_damage_dealt_to_objectives_0, 82258
total_damage_taken_0, 103404
average_vision_score_0, 22
total_wards_placed_0, 46
average_creep_score_0, 100
average_champion_experience_0, 13020
dmg_carry_0, 86
obj_carry_0, 86
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Malphite
total_gold_earned_1, 46395
total_gold_spent_1, 45692
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 20
total_deaths_1, 47
total_damage_dealt_to_champions_1, 79335
total_damage_dealt_to_objectives_1, 13791
total_damage_taken_1, 118052
average_vision_score_1, 19
total_wards_placed_1, 42
average_creep_score_1, 87
average_champion_experience_1, 10406
dmg_carry_1, 31
obj_carry_1, 31
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, RekSai
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
