total_gold_earned_0, 17753
total_gold_spent_0, 13845
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 5
total_damage_dealt_to_champions_0, 12996
total_damage_dealt_to_objectives_0, 4265
total_damage_taken_0, 21309
average_vision_score_0, 5
total_wards_placed_0, 11
average_creep_score_0, 41
average_champion_experience_0, 3746
dmg_carry_0, 145
obj_carry_0, 145
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Sylas
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 15462
total_gold_spent_1, 12635
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 5
total_deaths_1, 10
total_damage_dealt_to_champions_1, 13190
total_damage_dealt_to_objectives_1, 3642
total_damage_taken_1, 19998
average_vision_score_1, 5
total_wards_placed_1, 15
average_creep_score_1, 30
average_champion_experience_1, 2963
dmg_carry_1, 18
obj_carry_1, 18
team_comp_1_champ_1, Olaf
team_comp_1_champ_2, Garen
team_comp_1_champ_3, Tristana
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Twitch
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
