total_gold_earned_0, 50675
total_gold_spent_0, 48916
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 27
total_deaths_0, 31
total_damage_dealt_to_champions_0, 99946
total_damage_dealt_to_objectives_0, 44226
total_damage_taken_0, 120599
average_vision_score_0, 19
total_wards_placed_0, 46
average_creep_score_0, 110
average_champion_experience_0, 11181
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Sejuani
team_comp_0_champ_3, Renekton
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 53683
total_gold_spent_1, 47535
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 1
total_kills_1, 31
total_deaths_1, 28
total_damage_dealt_to_champions_1, 94174
total_damage_dealt_to_objectives_1, 62915
total_damage_taken_1, 130629
average_vision_score_1, 16
total_wards_placed_1, 35
average_creep_score_1, 99
average_champion_experience_1, 11889
dmg_carry_1, 48
obj_carry_1, 48
team_comp_1_champ_1, TahmKench
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 1
