total_gold_earned_0, 91813
total_gold_spent_0, 93813
total_baron_kills_0, 2
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 44
total_deaths_0, 63
total_damage_dealt_to_champions_0, 177978
total_damage_dealt_to_objectives_0, 109360
total_damage_taken_0, 237861
average_vision_score_0, 42
total_wards_placed_0, 94
average_creep_score_0, 165
average_champion_experience_0, 21668
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, MonkeyKing
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Vladimir
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Pyke
total_gold_earned_1, 91189
total_gold_spent_1, 84825
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 63
total_deaths_1, 44
total_damage_dealt_to_champions_1, 197375
total_damage_dealt_to_objectives_1, 59601
total_damage_taken_1, 207533
average_vision_score_1, 60
total_wards_placed_1, 83
average_creep_score_1, 175
average_champion_experience_1, 23089
dmg_carry_1, 1
obj_carry_1, 1
team_comp_1_champ_1, Shen
team_comp_1_champ_2, Rammus
team_comp_1_champ_3, Annie
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 1
