total_gold_earned_0, 47268
total_gold_spent_0, 45685
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 17
total_deaths_0, 30
total_damage_dealt_to_champions_0, 60969
total_damage_dealt_to_objectives_0, 17593
total_damage_taken_0, 124021
average_vision_score_0, 25
total_wards_placed_0, 49
average_creep_score_0, 124
average_champion_experience_0, 11184
dmg_carry_0, 161
obj_carry_0, 161
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Velkoz
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Xerath
total_gold_earned_1, 58648
total_gold_spent_1, 48700
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 30
total_deaths_1, 17
total_damage_dealt_to_champions_1, 104710
total_damage_dealt_to_objectives_1, 89238
total_damage_taken_1, 92575
average_vision_score_1, 32
total_wards_placed_1, 59
average_creep_score_1, 130
average_champion_experience_1, 13844
dmg_carry_1, 83
obj_carry_1, 83
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Shyvana
team_comp_1_champ_3, Leblanc
team_comp_1_champ_4, Kalista
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
