total_gold_earned_0, 28465
total_gold_spent_0, 27250
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 7
total_deaths_0, 26
total_damage_dealt_to_champions_0, 31277
total_damage_dealt_to_objectives_0, 11476
total_damage_taken_0, 67669
average_vision_score_0, 12
total_wards_placed_0, 30
average_creep_score_0, 74
average_champion_experience_0, 7140
dmg_carry_0, 29
obj_carry_0, 29
team_comp_0_champ_1, Shen
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Lulu
total_gold_earned_1, 46779
total_gold_spent_1, 36010
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 1
total_kills_1, 26
total_deaths_1, 7
total_damage_dealt_to_champions_1, 53485
total_damage_dealt_to_objectives_1, 46730
total_damage_taken_1, 46157
average_vision_score_1, 12
total_wards_placed_1, 26
average_creep_score_1, 103
average_champion_experience_1, 9589
dmg_carry_1, 17
obj_carry_1, 17
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Swain
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Pantheon
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
