total_gold_earned_0, 59714
total_gold_spent_0, 53885
total_baron_kills_0, 0
total_dragon_kills_0, 5
total_inhibitor_kils_0, 1
total_kills_0, 29
total_deaths_0, 23
total_damage_dealt_to_champions_0, 87155
total_damage_dealt_to_objectives_0, 79189
total_damage_taken_0, 94847
average_vision_score_0, 35
total_wards_placed_0, 62
average_creep_score_0, 129
average_champion_experience_0, 14458
dmg_carry_0, 91
obj_carry_0, 91
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Volibear
team_comp_0_champ_3, Talon
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Lux
total_gold_earned_1, 53748
total_gold_spent_1, 52418
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 23
total_deaths_1, 29
total_damage_dealt_to_champions_1, 65411
total_damage_dealt_to_objectives_1, 22627
total_damage_taken_1, 113749
average_vision_score_1, 23
total_wards_placed_1, 52
average_creep_score_1, 115
average_champion_experience_1, 12243
dmg_carry_1, 84
obj_carry_1, 84
team_comp_1_champ_1, Fiora
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
