total_gold_earned_0, 86035
total_gold_spent_0, 87745
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 50
total_deaths_0, 67
total_damage_dealt_to_champions_0, 177201
total_damage_dealt_to_objectives_0, 73536
total_damage_taken_0, 181126
average_vision_score_0, 33
total_wards_placed_0, 78
average_creep_score_0, 146
average_champion_experience_0, 19612
dmg_carry_0, 28
obj_carry_0, 28
team_comp_0_champ_1, Jayce
team_comp_0_champ_2, Evelynn
team_comp_0_champ_3, Yone
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Pyke
total_gold_earned_1, 88606
total_gold_spent_1, 83925
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 67
total_deaths_1, 50
total_damage_dealt_to_champions_1, 150864
total_damage_dealt_to_objectives_1, 98308
total_damage_taken_1, 210280
average_vision_score_1, 42
total_wards_placed_1, 86
average_creep_score_1, 134
average_champion_experience_1, 21047
dmg_carry_1, 29
obj_carry_1, 29
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, Talon
team_comp_1_champ_3, Neeko
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Lulu
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
