total_gold_earned_0, 44758
total_gold_spent_0, 42445
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 13
total_deaths_0, 37
total_damage_dealt_to_champions_0, 66728
total_damage_dealt_to_objectives_0, 41791
total_damage_taken_0, 110857
average_vision_score_0, 22
total_wards_placed_0, 59
average_creep_score_0, 108
average_champion_experience_0, 10347
dmg_carry_0, 74
obj_carry_0, 74
team_comp_0_champ_1, Renekton
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Heimerdinger
team_comp_0_champ_4, Nilah
team_comp_0_champ_5, Morgana
total_gold_earned_1, 61191
total_gold_spent_1, 53750
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 37
total_deaths_1, 13
total_damage_dealt_to_champions_1, 92942
total_damage_dealt_to_objectives_1, 78127
total_damage_taken_1, 88038
average_vision_score_1, 33
total_wards_placed_1, 67
average_creep_score_1, 112
average_champion_experience_1, 13558
dmg_carry_1, 15
obj_carry_1, 15
team_comp_1_champ_1, Kayle
team_comp_1_champ_2, Ivern
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Zilean
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
