total_gold_earned_0, 31988
total_gold_spent_0, 27825
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 7
total_deaths_0, 26
total_damage_dealt_to_champions_0, 31687
total_damage_dealt_to_objectives_0, 38660
total_damage_taken_0, 66247
average_vision_score_0, 18
total_wards_placed_0, 41
average_creep_score_0, 89
average_champion_experience_0, 7946
dmg_carry_0, 99
obj_carry_0, 99
team_comp_0_champ_1, Darius
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Varus
team_comp_0_champ_5, Zyra
total_gold_earned_1, 41912
total_gold_spent_1, 37660
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 26
total_deaths_1, 8
total_damage_dealt_to_champions_1, 51859
total_damage_dealt_to_objectives_1, 40622
total_damage_taken_1, 50829
average_vision_score_1, 19
total_wards_placed_1, 45
average_creep_score_1, 101
average_champion_experience_1, 10356
dmg_carry_1, 35
obj_carry_1, 35
team_comp_1_champ_1, Kennen
team_comp_1_champ_2, Shaco
team_comp_1_champ_3, Anivia
team_comp_1_champ_4, Nilah
team_comp_1_champ_5, Lulu
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
