total_gold_earned_0, 61660
total_gold_spent_0, 59900
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 39
total_deaths_0, 49
total_damage_dealt_to_champions_0, 109502
total_damage_dealt_to_objectives_0, 24269
total_damage_taken_0, 148394
average_vision_score_0, 25
total_wards_placed_0, 60
average_creep_score_0, 111
average_champion_experience_0, 14727
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Rammus
team_comp_0_champ_3, Orianna
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 68059
total_gold_spent_1, 60225
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 49
total_deaths_1, 40
total_damage_dealt_to_champions_1, 125162
total_damage_dealt_to_objectives_1, 88410
total_damage_taken_1, 149683
average_vision_score_1, 27
total_wards_placed_1, 47
average_creep_score_1, 115
average_champion_experience_1, 15525
dmg_carry_1, 39
obj_carry_1, 39
team_comp_1_champ_1, Vayne
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Irelia
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
