total_gold_earned_0, 47142
total_gold_spent_0, 42575
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 22
total_deaths_0, 27
total_damage_dealt_to_champions_0, 79419
total_damage_dealt_to_objectives_0, 27009
total_damage_taken_0, 131017
average_vision_score_0, 19
total_wards_placed_0, 47
average_creep_score_0, 106
average_champion_experience_0, 11968
dmg_carry_0, 77
obj_carry_0, 77
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Udyr
team_comp_0_champ_3, Annie
team_comp_0_champ_4, Nilah
team_comp_0_champ_5, Senna
total_gold_earned_1, 56067
total_gold_spent_1, 50608
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 27
total_deaths_1, 22
total_damage_dealt_to_champions_1, 103806
total_damage_dealt_to_objectives_1, 60822
total_damage_taken_1, 106741
average_vision_score_1, 32
total_wards_placed_1, 55
average_creep_score_1, 112
average_champion_experience_1, 13006
dmg_carry_1, 99
obj_carry_1, 99
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Karma
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
