total_gold_earned_0, 94487
total_gold_spent_0, 87950
total_baron_kills_0, 3
total_dragon_kills_0, 5
total_inhibitor_kils_0, 5
total_kills_0, 55
total_deaths_0, 51
total_damage_dealt_to_champions_0, 215192
total_damage_dealt_to_objectives_0, 129962
total_damage_taken_0, 238101
average_vision_score_0, 41
total_wards_placed_0, 76
average_creep_score_0, 160
average_champion_experience_0, 24113
dmg_carry_0, 22
obj_carry_0, 22
team_comp_0_champ_1, Heimerdinger
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Yone
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Lux
total_gold_earned_1, 87259
total_gold_spent_1, 79355
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 3
total_kills_1, 51
total_deaths_1, 55
total_damage_dealt_to_champions_1, 193378
total_damage_dealt_to_objectives_1, 59533
total_damage_taken_1, 255221
average_vision_score_1, 48
total_wards_placed_1, 97
average_creep_score_1, 170
average_champion_experience_1, 21930
dmg_carry_1, 101
obj_carry_1, 101
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Talon
team_comp_1_champ_3, Nasus
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Xerath
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
