total_gold_earned_0, 53690
total_gold_spent_0, 50525
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 30
total_deaths_0, 47
total_damage_dealt_to_champions_0, 111961
total_damage_dealt_to_objectives_0, 24644
total_damage_taken_0, 125947
average_vision_score_0, 23
total_wards_placed_0, 47
average_creep_score_0, 97
average_champion_experience_0, 12229
dmg_carry_0, 245
obj_carry_0, 245
team_comp_0_champ_1, Malphite
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Yone
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Morgana
total_gold_earned_1, 65434
total_gold_spent_1, 56885
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 47
total_deaths_1, 30
total_damage_dealt_to_champions_1, 107514
total_damage_dealt_to_objectives_1, 81091
total_damage_taken_1, 146046
average_vision_score_1, 17
total_wards_placed_1, 40
average_creep_score_1, 116
average_champion_experience_1, 15484
dmg_carry_1, 28
obj_carry_1, 28
team_comp_1_champ_1, Nasus
team_comp_1_champ_2, Evelynn
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
