total_gold_earned_0, 68575
total_gold_spent_0, 62095
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 41
total_deaths_0, 32
total_damage_dealt_to_champions_0, 127663
total_damage_dealt_to_objectives_0, 44665
total_damage_taken_0, 124258
average_vision_score_0, 35
total_wards_placed_0, 69
average_creep_score_0, 123
average_champion_experience_0, 16178
dmg_carry_0, 63
obj_carry_0, 63
team_comp_0_champ_1, Kennen
team_comp_0_champ_2, JarvanIV
team_comp_0_champ_3, Yone
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Brand
total_gold_earned_1, 65268
total_gold_spent_1, 62375
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 32
total_deaths_1, 41
total_damage_dealt_to_champions_1, 92915
total_damage_dealt_to_objectives_1, 41227
total_damage_taken_1, 157597
average_vision_score_1, 25
total_wards_placed_1, 70
average_creep_score_1, 143
average_champion_experience_1, 15252
dmg_carry_1, 711
obj_carry_1, 711
team_comp_1_champ_1, Ornn
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Sona
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
