total_gold_earned_0, 81318
total_gold_spent_0, 80275
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 1
total_kills_0, 47
total_deaths_0, 31
total_damage_dealt_to_champions_0, 121260
total_damage_dealt_to_objectives_0, 85040
total_damage_taken_0, 158530
average_vision_score_0, 44
total_wards_placed_0, 96
average_creep_score_0, 142
average_champion_experience_0, 19644
dmg_carry_0, 91
obj_carry_0, 91
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Talon
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Janna
total_gold_earned_1, 77467
total_gold_spent_1, 72885
total_baron_kills_1, 1
total_dragon_kills_1, 5
total_inhibitor_kils_1, 0
total_kills_1, 31
total_deaths_1, 48
total_damage_dealt_to_champions_1, 129707
total_damage_dealt_to_objectives_1, 78709
total_damage_taken_1, 152130
average_vision_score_1, 40
total_wards_placed_1, 95
average_creep_score_1, 164
average_champion_experience_1, 18962
dmg_carry_1, 887
obj_carry_1, 887
team_comp_1_champ_1, Gwen
team_comp_1_champ_2, Zed
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
