total_gold_earned_0, 76039
total_gold_spent_0, 71455
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 34
total_deaths_0, 49
total_damage_dealt_to_champions_0, 162497
total_damage_dealt_to_objectives_0, 32475
total_damage_taken_0, 197674
average_vision_score_0, 37
total_wards_placed_0, 72
average_creep_score_0, 167
average_champion_experience_0, 18168
dmg_carry_0, 516
obj_carry_0, 516
team_comp_0_champ_1, Ornn
team_comp_0_champ_2, LeeSin
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Xayah
team_comp_0_champ_5, Morgana
total_gold_earned_1, 81937
total_gold_spent_1, 72655
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 48
total_deaths_1, 34
total_damage_dealt_to_champions_1, 165468
total_damage_dealt_to_objectives_1, 97504
total_damage_taken_1, 195392
average_vision_score_1, 41
total_wards_placed_1, 84
average_creep_score_1, 146
average_champion_experience_1, 20712
dmg_carry_1, 54
obj_carry_1, 54
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, Malphite
team_comp_1_champ_3, Lissandra
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
