total_gold_earned_0, 36685
total_gold_spent_0, 30810
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 28
total_deaths_0, 9
total_damage_dealt_to_champions_0, 45068
total_damage_dealt_to_objectives_0, 28295
total_damage_taken_0, 45495
average_vision_score_0, 10
total_wards_placed_0, 20
average_creep_score_0, 72
average_champion_experience_0, 6833
dmg_carry_0, 5
obj_carry_0, 5
team_comp_0_champ_1, Draven
team_comp_0_champ_2, XinZhao
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Gwen
team_comp_0_champ_5, Braum
total_gold_earned_1, 24754
total_gold_spent_1, 21960
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 9
total_deaths_1, 28
total_damage_dealt_to_champions_1, 25505
total_damage_dealt_to_objectives_1, 12669
total_damage_taken_1, 55383
average_vision_score_1, 5
total_wards_placed_1, 19
average_creep_score_1, 54
average_champion_experience_1, 4991
dmg_carry_1, 86
obj_carry_1, 86
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
