total_gold_earned_0, 60352
total_gold_spent_0, 58915
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 33
total_deaths_0, 42
total_damage_dealt_to_champions_0, 90634
total_damage_dealt_to_objectives_0, 32931
total_damage_taken_0, 144779
average_vision_score_0, 31
total_wards_placed_0, 66
average_creep_score_0, 128
average_champion_experience_0, 14563
dmg_carry_0, 25
obj_carry_0, 25
team_comp_0_champ_1, Volibear
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Zed
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Morgana
total_gold_earned_1, 70945
total_gold_spent_1, 64208
total_baron_kills_1, 2
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 42
total_deaths_1, 34
total_damage_dealt_to_champions_1, 119722
total_damage_dealt_to_objectives_1, 94542
total_damage_taken_1, 125298
average_vision_score_1, 42
total_wards_placed_1, 86
average_creep_score_1, 128
average_champion_experience_1, 17557
dmg_carry_1, 498
obj_carry_1, 498
team_comp_1_champ_1, Jax
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Rakan
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
