total_gold_earned_0, 68488
total_gold_spent_0, 63885
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 44
total_deaths_0, 57
total_damage_dealt_to_champions_0, 120933
total_damage_dealt_to_objectives_0, 36633
total_damage_taken_0, 187753
average_vision_score_0, 31
total_wards_placed_0, 65
average_creep_score_0, 141
average_champion_experience_0, 17643
dmg_carry_0, 32
obj_carry_0, 32
team_comp_0_champ_1, Kennen
team_comp_0_champ_2, Amumu
team_comp_0_champ_3, Jayce
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Pantheon
total_gold_earned_1, 80411
total_gold_spent_1, 73183
total_baron_kills_1, 2
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 57
total_deaths_1, 44
total_damage_dealt_to_champions_1, 160930
total_damage_dealt_to_objectives_1, 97597
total_damage_taken_1, 150947
average_vision_score_1, 43
total_wards_placed_1, 85
average_creep_score_1, 150
average_champion_experience_1, 20887
dmg_carry_1, 63
obj_carry_1, 63
team_comp_1_champ_1, Malzahar
team_comp_1_champ_2, Jax
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Brand
gameLengthMin, 37
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
