total_gold_earned_0, 20959
total_gold_spent_0, 16460
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 8
total_deaths_0, 23
total_damage_dealt_to_champions_0, 20421
total_damage_dealt_to_objectives_0, 1888
total_damage_taken_0, 42561
average_vision_score_0, 6
total_wards_placed_0, 18
average_creep_score_0, 48
average_champion_experience_0, 4619
dmg_carry_0, 105
obj_carry_0, 105
team_comp_0_champ_1, Fizz
team_comp_0_champ_2, Zac
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Pyke
total_gold_earned_1, 34726
total_gold_spent_1, 27550
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 22
total_deaths_1, 8
total_damage_dealt_to_champions_1, 33296
total_damage_dealt_to_objectives_1, 37493
total_damage_taken_1, 39128
average_vision_score_1, 9
total_wards_placed_1, 29
average_creep_score_1, 74
average_champion_experience_1, 6798
dmg_carry_1, 202
obj_carry_1, 202
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Brand
gameLengthMin, 14
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
